q,a
Papatūānuku,The Earth Mother
Ranginui,The Sky Father
Tāwhirimātea,God of weather and wind
Tangaroa,God of the sea
Tūmatauenga,God of war and hunting
Tāne,God of forests and birds
Rūaumoko,God of earthquakes and volcanoes
Hine-nui-te-pō,Goddess of death
Haere mae,Welcome
Ka kite ano,Goodbye
Kia Ora,Hello/thank-you
Mōrena,Good morning
Pō mārie,Good evening
Wai,Water,
Pounamu,Jade
Tangi,Weeping
Rangi,Sky
Tapu,Sacred | Forbidden
Awa,River
Maunga,Mountain
Roto,Lake
Puke,Hill
Aroha,Love
Pō,Darkness
Taniwha,Water spirit
Whare,House
Te Ika A Maui,The Fish Of Maui (North Island)
Te Waipounamu,Water and Greenstone (South Island)
Rakiura,Glowing Skies (Stewart Island)
Tahi,1
Rua,2
Toru,3
Whā,4,
Rima,5
Ono,6
Whitu,7
Waru,8
Iwa,9
Tekau,10
